lote,name,birth_year,haras,link,studbook_id,padrillo,M,birth_eday,sex,PR,PS,PRS
53,A HI DAY,2023,ABOLENGO,/remates/view/344,441697,HI HAPPY,ASPEN DAYS,15jul2023,1,.53843218,.34536856,.18595755
47,ABRAZADORA,2023,EL MALLÍN,/remates/copa-bullrich-abril-2/lotes,447011,SOVEREIGN (IRE),ABIDE (FR),08oct2023,1,.6625005,.21378811,.14163473
34,AKI,2023,EL MALLÍN,/remates/copa-bullrich-abril-2/lotes,445321,CIMA DE TRIOMPHE (IRE),ACCESS CODE (USA),20oct2023,2,.67970115,.26333004,.17898573
1,ALDEA BOMB,2019,FIRMAMENTO,/remates/remate-de-yeguas-madres-firmamento-y-la-pasion/lotes,413415,HIT IT A BOMB (USA),ALDEA NISTEL,17jul2019,1,.70655209,.25558823,.1805864
16,ALGO DIFERENTE,2023,VACACIÓN,/remates/view/342,442099,FORTIFY (USA),ALBERETA,04aug2023,2,.67348671,.31616861,.21293536
30,AMIGA VERDADERA,2023,VACACIÓN,/remates/view/342,446560,FULL MAST (USA),AMIGA DEL CORAZON,12oct2023,1,.62407923,.20006078,.12485378
38,ANDADOR,2023,GRAN MUÑECA,/remates/view/343,447896,GIDU (IRE),AVELLANA KEY,04nov2023,2,.7624988,.11715315,.089329131
57,ANTOLINA,2023,VACACIÓN,/remates/view/342,441601,REMOTE (GB),AMOR DE VERDAD,10jul2023,1,.5412389,.16026807,.08674331
2,ARDE LA CIUDAD,2012,LA PASIÓN,/remates/remate-de-yeguas-madres-firmamento-y-la-pasion/lotes,327096,STORMY ATLANTIC (USA),ARDE TROYA,01oct2012,1,.5607416,.17100672,.095890582
3,ARTIGLIARI,2018,LA PASIÓN,/remates/remate-de-yeguas-madres-firmamento-y-la-pasion/lotes,408644,EASING ALONG (USA),AFRIKANA,27sep2018,1,.54198903,.15072878,.081693344
4,ARZABAL,2023,VACACIÓN,/remates/view/342,441837,FORTIFY (USA),AYRA,30jul2023,2,.65977603,.32051304,.21146682
50,ASPERO,2023,EL MALLÍN,/remates/copa-bullrich-abril-2/lotes,445493,NICHOLAS,RISPIDA,25sep2023,2,.51152217,.10419313,.053297095
16,ASTRONOMIST,2023,SANTA MARÍA DE ARARAS,/remates/view/345,445908,DANIEL BOONE (BRZ),AT THE MAIL,03oct2023,1,.57625425,.14134192,.081448883
38,BAD BOY,2023,VACACIÓN,/remates/view/342,444414,TREASURE BEACH (GB),BARAHONA,15sep2023,2,.67049986,.19542775,.13103427
56,BAMBI BEACH,2023,ABOLENGO,/remates/view/344,443918,TREASURE BEACH (GB),BAMBI MIA,09sep2023,1,.39175832,.092345387,.036177073
39,BANDURRION,2023,GRAN MUÑECA,/remates/view/343,447894,CITYSCAPE (GB),BANDURRIA CAT,26oct2023,2,.73742706,.1497715,.11044555
58,BARBARA GIRL,2023,ABOLENGO,/remates/view/344,445123,COSMIC TRIGGER,BARCELONA GIRL,03oct2023,1,.42351374,.081399649,.03447387
19,BARBIE MARGOT,2023,ABOLENGO,/remates/view/344,441693,PNEUMATIC (USA),BARBIE GIRL,12jul2023,1,.55169255,.1757291,.09694843
51,BEAUTIFUL MIND,2023,EL MALLÍN,/remates/copa-bullrich-abril-2/lotes,444094,IL MERCATO,ROMAN HOLIDAY,03sep2023,2,.73275322,.1434148,.10508765
4,BESUQUEIRA,2012,LA PASIÓN,/remates/remate-de-yeguas-madres-firmamento-y-la-pasion/lotes,323557,ZENSATIONAL (USA),STORMY BEAM,02jul2012,1,.65586674,.13733469,.090073258
45,BLACK BOY,2023,ABOLENGO,/remates/view/344,441694,DADDY LONG LEGS (USA),BLACK SILKS,13jul2023,2,.68574184,.16816314,.1153165
45,BOBBY CHARLTON,2023,EL MALLÍN,/remates/copa-bullrich-abril-2/lotes,448233,NICHOLAS,DIXIE MANIA,20sep2023,2,.51290822,.052721992,.027041543
28,BOHEMIA KISS,2023,SANTA MARÍA DE ARARAS,/remates/view/345,447376,DANIEL BOONE (BRZ),BUTTERFLY KISS,13oct2023,1,.56946713,.12012872,.068409361
5,BOMBA CURSI,2018,FIRMAMENTO,/remates/remate-de-yeguas-madres-firmamento-y-la-pasion/lotes,405920,HIT IT A BOMB (USA),CURSI NISTEL,05jul2018,1,.73256582,.23272768,.17048834
46,BON JOURNE,2023,VACACIÓN,/remates/view/342,442693,TREASURE BEACH (GB),BEAUTY MUSIC,10aug2023,2,.71594608,.18798661,.13458827
49,BONIATO,2023,GRAN MUÑECA,/remates/view/343,445939,GIDU (IRE),BOLOÑESA KEY,11sep2023,2,.76424301,.13126953,.10032182
