name,studbook_id,padrillo,M,birth_eday,sex,PR,PS,PRS,lote,haras,Link,Remate,Start,End,Source,link
ACCIONADO BOY,442211,SUGGESTIVE BOY,ACCIONADORA,04aug2023,Male,0.61514914,0.069339961,0.042654417,10,La Esperanza,remates/listado/101,Gran Venta Haras La Esperanza,01-04-2025,01-04-2025,fallowremates,https://www.fallowremates.com/plataforma-remates/clientes/remates/listado/101
ALZEHBA (USA),378641,ELUSIVE QUALITY (USA),AQAARID (USA),11feb2005,Female,0.45703974,0.071383357,0.032625031,29,Santa Ines,remates/listado/102,Gran Venta Anual Haras Santa Ines,25-03-2025,25-03-2025,fallowremates,https://www.fallowremates.com/plataforma-remates/clientes/remates/listado/102
ARISA,361310,ORPEN (USA),ASPEN DAYS,04sep2016,Female,0.54918647,0.057519361,0.031588856,9,Santa Ines,remates/listado/102,Gran Venta Anual Haras Santa Ines,25-03-2025,25-03-2025,fallowremates,https://www.fallowremates.com/plataforma-remates/clientes/remates/listado/102
ART ACADEMY,422639,PUERTO ESCONDIDO,ARTISTICA,03oct2020,Female,0.57151127,0.068280347,0.039022986,23,Santa Ines,remates/listado/102,Gran Venta Anual Haras Santa Ines,25-03-2025,25-03-2025,fallowremates,https://www.fallowremates.com/plataforma-remates/clientes/remates/listado/102
ASPEN ROSE,406834,JOHN F KENNEDY (IRE),ASPEN DAYS,05aug2018,Female,0.64904004,0.088705078,0.057573147,19,Santa Ines,remates/listado/102,Gran Venta Anual Haras Santa Ines,25-03-2025,25-03-2025,fallowremates,https://www.fallowremates.com/plataforma-remates/clientes/remates/listado/102
BALANTRIA,421703,HURRICANE CAT (USA),BASKA HERMOSA,24aug2020,Female,0.58849645,0.041821044,0.024611536,3,Santa Ines,remates/listado/102,Gran Venta Anual Haras Santa Ines,25-03-2025,25-03-2025,fallowremates,https://www.fallowremates.com/plataforma-remates/clientes/remates/listado/102
BASKA HERMOSA,266484,ENGRILLADO,DARK BEAUTY,24sep2005,Female,0.54794079,0.028911134,0.01584159,25,Santa Ines,remates/listado/102,Gran Venta Anual Haras Santa Ines,25-03-2025,25-03-2025,fallowremates,https://www.fallowremates.com/plataforma-remates/clientes/remates/listado/102
BASKA LINDA,410451,EQUAL STRIPES,BASKA HERMOSA,11oct2018,Female,0.46653545,0.032040186,0.014947883,10,Santa Ines,remates/listado/102,Gran Venta Anual Haras Santa Ines,25-03-2025,25-03-2025,fallowremates,https://www.fallowremates.com/plataforma-remates/clientes/remates/listado/102
CASSIA ANTICA,407284,CATCHER IN THE RYE (IRE),COSTA MAYA,17aug2018,Female,0.57417625,0.038610104,0.022169005,12,Santa Ines,remates/listado/102,Gran Venta Anual Haras Santa Ines,25-03-2025,25-03-2025,fallowremates,https://www.fallowremates.com/plataforma-remates/clientes/remates/listado/102
EARLY TRIGGER,443768,COSMIC TRIGGER,EARLY START,30aug2023,Male,0.58646029,0.035063323,0.020563247,1,La Esperanza,remates/listado/101,Gran Venta Haras La Esperanza,01-04-2025,01-04-2025,fallowremates,https://www.fallowremates.com/plataforma-remates/clientes/remates/listado/101
